Rsl1d1	0.0
Tnfrsf13b	0.0
Ptpn6	0.0
Sox12	0.0
Myo1g	0.0
Slc19a1	0.0
Capg	0.0
Coro2a	0.0
Gcsh	0.0
Sept1	0.0
Spint2	0.0
Stat5a	0.0
Ydjc	0.0
Fyn	0.0
Hells	0.0
Arap3	0.0
Stard8	0.0
Sigmar1	0.0
Idh2	0.0
Impa2	0.0
Igsf8	0.0
Lpcat4	0.0
Bri3bp	0.0
Rrp15	0.0
Gp5	0.0
Itpkb	0.0
Dus4l	0.0
Marcksl1	0.0
Smyd5	0.0
Serf1	0.0
Fabp5	0.0
Gm11974	0.0
Rasl11a	0.0
Map3k6	0.0
Gm13157	0.0
Dlc1	0.0
Hcls1	0.0
Nefh	0.0
Lgals9	0.0
Samsn1	0.0
Tfap4	0.0
Rps29	0.0
Kit	0.0
Bzw2	0.0
Cdk6	0.0
Myb	0.0
Eef1g	0.0
Ergic1	0.0
Hif3a	0.0
Zfp710	0.0
Ccdc8	0.0
Fzd7	0.0
Flna	0.0
1300001I01Rik	0.0
Mettl1	0.0
Npm3	0.0
Casp3	0.0
Gpatch4	0.0
Hmga1	0.0
Slc41a3	0.0
Mir3062	0.0
Arhgap9	0.0
Bid	0.0
Spn	0.0
Jak3	0.0
Mki67ip	0.0
Etv5	0.0
Fam65a	0.0
Pdxk	0.0
Kif21b	0.0
Dnmt3b	0.0
Rpl26	0.0
Npm1	0.0
Sept9	0.0
5730408K05Rik	0.0
Sipa1l1	0.0
Mpst	1.0
Gypc	1.0
Ucp2	1.0
Klf13	1.0
Ank1	1.0
Ehd1	1.0
Ccni	1.0
Phospho1	1.0
Bnip3	1.0
Tuba4a	1.0
Cdk16	1.0
Espn	1.0
Klf3	1.0
Ccne1	1.0
Ehbp1l1	1.0
Ormdl3	1.0
Furin	1.0
Hbb-bh1	1.0
St3gal2	1.0
Jund	1.0
Spnb1	1.0
Eif2ak1	1.0
Nomo1	1.0
Akirin2	1.0
Wdtc1	1.0
Ndfip1	1.0
Add2	1.0
Ng23	1.0
Fam132a	1.0
Atp6v0a1	1.0
Hba-x	1.0
Gsk3a	1.0
Hist1h2af	1.0
Fam134a	1.0
Sirt2	1.0
Ddt	1.0
Add1	1.0
Cdkn1b	1.0
Josd2	1.0
Ino80b	1.0
Epb4.1	1.0
Pnrc1	1.0
Ppard	1.0
Kcnn4	1.0
Daam1	1.0
Foxo3	1.0
2010011I20Rik	1.0
Mknk1	1.0
Nat6	1.0
Tprgl	1.0
Cbfa2t3	1.0
Map2k2	1.0
Prdx2	1.0
Mafk	1.0
1810031K17Rik	1.0
Junb	1.0
Gadd45a	1.0
Dedd2	1.0
Ip6k1	1.0
Ranbp10	1.0
Ufsp1	1.0
Ccrn4l	1.0
Ptdss2	1.0
Bbc3	1.0
Fbxl19	1.0
Rogdi	1.0
Fam117a	1.0
Atg9a	1.0
Bcl2l1	1.0
Tspan33	1.0
Akt1s1	1.0
Sphk1	1.0
Dyrk1b	1.0
Rnf11	1.0
Ppp1r15a	1.0
Fam46c	1.0
Plekho2	1.0
Neat1	1.0
Phlda1	1.0
6030468B19Rik	1.0
Arhgdig	1.0
Hipk2	1.0
Abcb10	1.0
Pim1	1.0
Btg2	1.0
Ache	1.0
Csf2rb	1.0
Tmcc2	1.0
Arhgap23	1.0
Ypel3	1.0
Tbc1d17	1.0
Nudt22	1.0
Slc9a1	1.0
Cmas	1.0
Ccdc97	1.0
Gabarap	1.0
Ccdc88c	1.0
Glipr2	1.0
Fgf3	2.0
Arhgef10l	2.0
Unc5cl	2.0
St6galnac4	2.0
5830405N20Rik	2.0
Snora28	2.0
Zfp362	2.0
Pisd-ps3	2.0
Tgm2	2.0
Nab2	2.0
Cpa3	2.0
Rgs19	2.0
Ptprs	2.0
St8sia4	2.0
Insl3	2.0
Wls	2.0
Phlda2	2.0
Rsc1a1	2.0
Igf1r	2.0
Gm10052	2.0
Cxxc5	2.0
E130012A19Rik	2.0
Npl	2.0
Il4ra	2.0
Snora7a	2.0
Spry4	2.0
Snhg4	2.0
Timp3	2.0
Lat	2.0
Tgm1	2.0
Cmtm7	2.0
Ptrf	2.0
Des	2.0
Aacs	2.0
Mir703	2.0
Slc45a3	2.0
Lst1	2.0
Coro1a	2.0
1700097N02Rik	2.0
Dennd1c	2.0
Snora33	2.0
Stk10	2.0
Rcbtb2	2.0
Ccdc102a	2.0
Erv3	2.0
Alox5	2.0
Rps6ka1	2.0
Snrpn	2.0
Lcp2	2.0
1810014F10Rik	2.0
Atp2a3	2.0
Cuedc1	2.0
Fkbp11	2.0
Rcsd1	2.0
Prodh	2.0
Mir692-1	2.0
Snhg3	2.0
Srgn	2.0
Osr2	2.0
Mir7-1	2.0
Efha1	2.0
Mir680-2	2.0
Il1rl1	2.0
Ptpru	2.0
Fgf15	2.0
Trim56	3.0
Cercam	3.0
2310022B05Rik	3.0
Klf6	3.0
Usp49	3.0
Pcyt1a	3.0
Zfand5	3.0
Mfsd7b	3.0
Cox6b2	3.0
Snca	3.0
Sertad3	3.0
Fads3	3.0
Ube2o	3.0
Hagh	3.0
Tmem184a	3.0
Gadd45g	3.0
Vps37a	3.0
Gpr146	3.0
Pcx	3.0
Chpt1	3.0
Sgsm3	3.0
Slc4a1	3.0
Tmem120b	3.0
B4galt1	3.0
4831426I19Rik	3.0
Spns2	3.0
Tbc1d24	3.0
Slc6a9	3.0
Slc16a10	3.0
Dnajb2	3.0
Evi5l	3.0
2310021P13Rik	3.0
Carhsp1	3.0
Hist1h1c	3.0
Atg4d	3.0
Pld3	3.0
Slc22a23	3.0
Pink1	3.0
Alas2	3.0
Zfp36	3.0
E2f2	3.0
Wdr26	3.0
Ypel4	3.0
Gm15800	3.0
Crat	3.0
Ctsb	3.0
Ssh1	3.0
Gm16515	3.0
Csf2rb2	3.0
Bcas3	3.0
Ctdsp2	3.0
Tnks	3.0
Ninl	3.0
Slc46a3	3.0
Pkn2	3.0
Hist1h2ab	3.0
Stom	3.0
Micall2	3.0
Epb4.9	3.0
Chsy1	3.0
Phlda3	3.0
Rnf19b	3.0
Hbq1a	3.0
Malat1	3.0
Icam4	3.0
Pdia2	3.0
Hbb-y	3.0
Ppm1a	3.0
Calcoco1	3.0
B230312A22Rik	3.0
Fam132b	3.0
Rfx2	3.0
Acp5	3.0
Hmox1	3.0
C2cd2l	3.0
Josd1	3.0
Mdk	3.0
Dnajb6	3.0
Elf1	3.0
Plin3	3.0
Dhrs11	3.0
March8	3.0
Heca	3.0
Bach1	3.0
Ppdpf	3.0
Psme4	3.0
Numbl	3.0
Tsc22d1	3.0
Cdc25b	3.0
Mboat2	3.0
Atp2b4	3.0
Map1lc3a	3.0
Hist1h2bc	3.0
Mxi1	3.0
Hebp1	3.0
Gypa	3.0
Zbtb7b	3.0
Mir486	3.0
Btn1a1	3.0
Atp8a1	3.0
Ube2h	3.0
Wsb2	3.0
Hdac5	3.0
Itfg3	3.0
0610010O12Rik	3.0
Frmd4a	3.0
Naga	3.0
Fam83d	3.0
Dnase2a	3.0
Cpeb4	3.0
Nudt18	3.0
Cdr2	3.0
Herpud2	3.0
Slc30a1	3.0
Rab4a	3.0
Mxd1	3.0
Abcb6	3.0
Slc25a37	3.0
Cldn13	3.0
Stx2	3.0
C78339	3.0
Rnf103	3.0
Uba7	3.0
Tmc8	3.0
Fam63b	3.0
1810058I24Rik	3.0
Abhd4	3.0
Ppp2r5b	3.0
E130308A19Rik	3.0
Ccdc6	3.0
Gcdh	3.0
Abca7	3.0
Pxmp4	3.0
Socs1	3.0
Arf5	4.0
Necap2	4.0
Samd14	4.0
Clic1	4.0
Wbp2	4.0
Klf1	4.0
Gclm	4.0
Suv420h2	4.0
Hbb-b2	4.0
Beta-s	4.0
Ap2a1	4.0
Cited4	4.0
Grina	4.0
Blvrb	4.0
Epn1	4.0
Tmem14c	4.0
Ftl1	4.0
Ccnd3	4.0
Gata1	4.0
Atp1b2	4.0
Hbb-b1	4.0
Lmna	4.0
Gmpr	4.0
1810027O10Rik	4.0
Soat2	5.0
Fbxo44	5.0
Nupr1	5.0
1190002F15Rik	5.0
Hist4h4	5.0
Tulp2	5.0
Lgr4	5.0
Il9r	5.0
Gipr	5.0
Sema6c	5.0
Fhdc1	5.0
Slc26a11	5.0
Ctsf	5.0
Tmem88b	5.0
Fam57b	5.0
Trp53inp1	5.0
Padi3	5.0
Wbscr27	5.0
Tnfrsf13c	5.0
Ypel5	5.0
Shf	5.0
Pfkfb4	5.0
Rgs11	5.0
Abcb9	5.0
Ypel2	5.0
Dhrs3	5.0
Tmem150a	5.0
Matn1	5.0
Cpne9	5.0
Tubb1	5.0
Fn3k	5.0
Srxn1	5.0
Rab3il1	5.0
Itga7	5.0
Rragd	5.0
Slc38a5	5.0
Kalrn	5.0
Mir546	5.0
2310046K01Rik	5.0
Adcy6	5.0
Hyal1	5.0
Kcnh2	5.0
1600014C23Rik	5.0
Dusp8	5.0
Crlf1	5.0
Gstt2	5.0
Me1	5.0
Rcn3	5.0
Rgs12	5.0
Cpeb2	5.0
Creb3l3	5.0
Trp53inp2	5.0
Tbx6	5.0
Tubb3	5.0
Capn5	5.0
Gdpd1	5.0
Rit1	5.0
Tcp11l1	5.0
Dstyk	5.0
Grwd1	6.0
Def6	6.0
Car1	6.0
Cyba	6.0
Lyl1	6.0
Nop2	6.0
Ptpn7	6.0
Icam2	6.0
Limd2	6.0
Hmga1-rs1	6.0
Suclg2	6.0
Vim	6.0
Mmp14	6.0
H2afy	6.0
Lgals1	6.0
Aprt	6.0
Ptprcap	6.0
Kat2a	6.0
Lyar	6.0
Rps21	6.0
Atic	6.0
Cdca7	6.0
Rpl39	6.0
Mthfd1	6.0
Npepl1	6.0
Fam195a	6.0
Ccnd2	6.0
Mthfd1l	6.0
Gata2	6.0
Hdac7	6.0
Set	6.0
Crip1	6.0
Parp1	6.0
Srm	6.0
Acap1	6.0
Zfp36l2	6.0
Gart	6.0
Egr1	6.0
Npm3-ps1	6.0
Rpl23a	6.0
Ctse	6.0
C2cd4a	6.0
Mybbp1a	6.0
Mir682	6.0
